"Variable","Mean","Median","Variance","Std","Min","Max","IQR","Q1","Q3","Bound"
"Hydro(TWh)",151.8495,43.83,74596.1488471053,273.12295554769,7.28,1189.84,137.355,"15.7775","153.1325",""
"Biofuel(TWh)",51.14953,18.685,7237.11466926011,85.0712329125428,6e-04,295.02,48.595,"2.2775","50.8725",""
"Solar PV (TWh)",19.828,6.97,562.934553684211,23.7262418786501,0.02,79.43,32.5575,"2.4425","35",""
"Geothermal (TWh)",2.667255,0.06255,26.2903600162895,5.12741260445163,0,18.96,3.17,"0","3.17",""
"Total (TWh)",254.826935,112.03,170737.535647815,413.203987937937,12.4,1819.94,192.17235,"43.87515","236.0475",""
